id,quote,author
1,"„Hast du einen Menschen gern, so musst du ihn versteh'n. Musst nicht immer hier und da, seine Fehler seh'n. Schau mit Liebe und Verzeih', denn am Ende bist du selbst nicht fehlerfrei.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
2,"„Wo Recht zu Unrecht wird, wird Widerstand zur Pflicht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
3,"„Wer Tiere quält, ist unbeseelt und Gottes guter Geist ihm fehlt, mag noch so vornehm drein er schaun, man sollte niemals ihm vertraun.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
4,"„Gerne der Zeiten gedenk' ich, da alle Glieder gelenkig - bis auf eins. Doch die Zeiten sind vorüber, steif geworden alle Glieder - bis auf eins.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
5,"„Man sollte alle Tage wenigstens ein kleines Lied hören, ein gutes Gedicht lesen, ein treffliches Gemälde sehen und, wenn es möglich zu machen wäre, ein vernünftiges Wort sprechen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
6,"„Jeder kehre vor der eigenen Tür, und die Welt ist sauber.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
7,"„Das Land, das die Fremden nicht beschützt, geht bald unter.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
8,"„Wer sich den Gesetzen nicht fügen will, muss die Gegend verlassen, wo sie gelten.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
9,"„Was immer du tun kannst oder wovon du träumst – fang damit an. Mut hat Genie, Kraft und Zauber in sich.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
10,"„Willst Du glücklich leben, hasse niemanden und überlasse die Zukunft Gott.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
11,"„Die Welt ist voll Torheit, Dumpfheit, Inkonsequenz und Ungerechtigkeit; es gehört viel Mut dazu, diesen nicht das Feld zu räumen und sich beiseite zu begeben.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
12,„Es ist nicht genug zu wissen - man muss auch anwenden. Es ist nicht genug zu wollen - man muss auch tun.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
13,"„Man muß das Wahre immer wiederholen, weil auch der Irrtum um uns her immer wieder gepredigt wird, und zwar nicht von einzelnen, sondern von der Masse. In Zeitungen und Encyklopädien, auf Schulen und Universitäten, überall ist der Irrtum obenauf, und es ist ihm wohl und behaglich im Gefühl der Majorität, die auf seiner Seite ist.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
14,"„Das mächtigste Hirngespinst ist die öffentliche Meinung: Niemand weiß genau, wer sie macht, niemand hat sie je persönlich kennengelernt, aber alle lassen sich von ihr tyrannisieren!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
15,"„Auch das ist Kunst, ist Gottes Gabe, aus ein paar sonnenhellen Tagen sich so viel Licht ins Herz zu tragen, dass, wenn der Sommer längst verweht, das Leuchten immer noch besteht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
16,"„Wenn wir die Menschen nur so nehmen, wie sie sind, so machen wir sie schlechter; wenn wir sie behandeln, als wären sie, was sie sein sollten, so bringen wir sie dahin, wohin sie zu bringen sind.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
17,"„Entscheide lieber ungefähr richtig, als genau falsch.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
18,"„Die Natur versteht keinen Spaß, sie ist immer wahr, immer ernst, immer strenge, sie hat immer recht, und die Fehler und Irrtümer sind immer des Menschen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
19,"„Durch nichts bezeichnen die Menschen mehr ihren Charakter als durch das, was sie lächerlich finden.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
20,"„Niemand ist mehr Sklave, als der sich für frei hält, ohne es zu sein.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
21,"„Der Zeitungsschreiber selbst ist wirklich zu beklagen, / Gar öfters weiß er nichts, und oft darf er nichts sagen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
22,"„Was keiner wagt, das sollt ihr wagen was keiner sagt, das sagt heraus was keiner denkt, das wagt zu denken was keiner anfängt, das führt aus.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
23,„Zwei Dinge sollen Kinder von ihren Eltern bekommen: Wurzeln und Flügel.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
24,"„Glücklich wenn die Tage fließen, wechselnd zwischen Freud und Leid, zwischen Schaffen und Genießen, zwischen Welt und Einsamkeit.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
25,"„Wer immer strebend sich bemüht, / Den können wir erlösen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
26,„Unter allen Völkerschaften haben die Griechen den Traum des Lebens am schönsten geträumt.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
27,"„Wer sich den Gesetzen nicht fügen lernt, muß die Gegend verlassen, wo sie gelten.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
28,"„Behandle Menschen wie sie sind, und sie werden schlechter werden. Behandle Menschen, wie sie sein könnten, und sie werden besser werden!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
29,"„Es gehört zu den traurigsten Bedingungen, unter denen wir leiden, uns nicht allein durch den Tod, sondern auch durch das Leben von denen getrennt zu sehen, die wir am meisten schätzen und lieben und deren Mitwirkung uns am besten fördern könnte.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
30,„Frei will ich sein im Denken und Dichten. Im Handeln schränkt die Welt genug uns ein.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
31,"„Doch bin ich, wie ich bin, und nimm mich nur hin! Willst du Bessre besitzen, so lass dir sie schnitzen!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
32,"„Was du ererbt von deinen Vätern hast, erwirb es, um es zu besitzen! Was man nicht nützt, ist eine schwere Last.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
33,"„Wenn dir's in Kopf und Herzen schwirrt, was willst du Beßres haben! Wer nicht mehr liebt und nicht mehr irrt, der lasse sich begraben.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
34,"„In einer Stadt wie Frankfurt befindet man sich in einer wunderlichen Lage, immer sich kreuzende Fremde deuten nach allen Weltgegenden hin und erwecken Reiselust.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
35,"„Willst du immer weiter schweifen? Sieh, das Gute liegt so nah. Lerne nur das Glück ergreifen: Denn das Glück ist immer da.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
36,"„Behandle die Menschen so, als wären sie, was sie sein sollten, und du hilfst ihnen zu werden, was sie sein können.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
37,"„Sage mir, mit wem du umgehst, so sage ich dir, wer du bist; weiß ich, womit du dich beschäftigst, so weiß ich, was aus dir werden kann.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
38,„Der Zweck des Lebens ist das Leben selbst.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
39,"„Manchmal sieht unser Schicksal aus wie ein Fruchtbaum im Winter. Wer sollte bei dem traurigen Aussehen desselben wohl denken, daß diese starren Äste, diese zackigen Zweige im nächsten Frühjahr wieder grünen, blühen, sodann Früchte tragen könnten, doch wir hoffen's, wir wissen's.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
40,"„Der Hass ist ein aktives Missvergnügen, der Neid ein passives; deshalb darf man sich nicht wundern, wenn der Neid so schnell in Hass übergeht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
41,„Wo Anmassung mir wohlgefällt? An Kindern. Denen gehört die Welt.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
42,"„Gegenüber der Fähigkeit, die Arbeit eines einzigen Tages sinnvoll zu ordnen, ist alles andere im Leben ein Kinderspiel.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
43,"„Nichts ist widerwärtiger als die Majorität: denn sie besteht aus wenigen kräftigen Vorgängern, aus Schelmen, die sich akkomodieren, aus Schwachen, die sich assimilieren, und der Masse, die nachtrollt, ohne im mindesten zu wissen, was sie will.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
44,"„Es hört doch jeder nur, was er versteht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
45,"„Das ist der Weisheit letzter Schluß; Der verdient sich Freiheit wie das Leben, Der täglich sie erobern muß.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
46,"„Es kommt nicht darauf an, dass die Freunde zusammenkommen, sondern darauf, dass sie übereinstimmen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
47,"„Mit dieser Welt ist's keiner Wege richtig; Vergebens bist du brav, vergebens tüchtig, Sie will uns zahm, sie will uns sogar nichtig!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
48,"„Nur wo du zu Fuß warst, bist du auch wirklich gewesen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
49,"„Aller Anfang ist leicht, und die letzten Stufen werden am schwersten und seltensten erstiegen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
50,"„Sobald der Geist auf ein Ziel gerichtet ist, kommt ihm vieles entgegen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
51,"„Wer sich allzu grün macht, den fressen die Ziegen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
52,„Leben und leben lassen.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
53,"„Die ich rief, die Geister, / Werd' ich nun nicht los.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
54,„Mit dem Wissen wächst der Zweifel.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
55,"„Wer Musik nicht liebt, verdient nicht, ein Mensch genannt zu werden; wer sie nur liebt, ist erst ein halber Mensch; wer sie aber treibt, ist ein ganzer Mensch.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
56,"„Habt ihr die innern Verhältnisse einer Handlung erforscht? Wißt ihr mit Bestimmtheit die Ursachen zu entwickeln, warum sie geschah, warum sie geschehen mußte? Hättet ihr das, ihr würdet nicht so eilfertig mit euren Urteilen sein!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
57,"„Ein echter deutscher Mann mag keinen Franzen (Franzosen) leiden, / Doch ihre Weine trinkt er gern.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
58,"„Der Undank ist immer eine Art Schwäche. Ich habe nie gesehen, dass tüchtige Menschen undankbar gewesen wären.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
59,"„Willst du dich am Ganzen erquicken, so musst du das Ganze im Kleinsten erblicken.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
60,"„Ich schreibe dir einen langen Brief, weil ich keine Zeit habe, einen kurzen zu schreiben.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
61,"„Denn wir können die Kinder nach unserem Sinne nicht formen; so wie Gott sie uns gab, so muß man sie haben und lieben. Sie erziehen aufs beste und jeglichen lassen gewähren. Denn der eine hat die, die anderen andere Gaben; jeder braucht sie, und jeder ist doch nur auf eigene Weise gut und glücklich.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
62,"„Das Beste ist die tiefe Stille, in der ich gegen die Welt lebe und wachse und gewinne, was sie mir mit Feuer und Schwert nicht nehmen können.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
63,"„Plastik wirkt eigentlich nur auf ihrer höchsten Stufe; alles Mittlere kann wohl aus mehr als einer Ursache imponieren; aber alle mittleren Kunstwerke dieser Art machen mehr irre, als daß sie erfreuen. Die Bildhauerkunst muß sich daher noch ein stoffartiges Interesse suchen, und das findet sie in den Bildnissen bedeutender Menschen. Aber auch hier muß sie schon einen hohen Grad erreichen, wenn sie zugleich wahr und würdig sein will.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
